atributos_SMO,acertos_SMO,micro_SMO,macro_SMO,nome_SMO,atributos_IBk_3,acertos_IBk_3,micro_IBk_3,macro_IBk_3,nome_IBk_3,atributos_IBk_5,acertos_IBk_5,micro_IBk_5,macro_IBk_5,nome_IBk_5,atributos_IBk_7,acertos_IBk_7,micro_IBk_7,macro_IBk_7,nome_IBk_7,atributos_IBk_9,acertos_IBk_9,micro_IBk_9,macro_IBk_9,nome_IBk_9,atributos_IBk_11,acertos_IBk_11,micro_IBk_11,macro_IBk_11,nome_IBk_11,atributos_IBk_13,acertos_IBk_13,micro_IBk_13,macro_IBk_13,nome_IBk_13,atributos_IBk_15,acertos_IBk_15,micro_IBk_15,macro_IBk_15,nome_IBk_15,atributos_IBk_17,acertos_IBk_17,micro_IBk_17,macro_IBk_17,nome_IBk_17,atributos_IBk_19,acertos_IBk_19,micro_IBk_19,macro_IBk_19,nome_IBk_19,atributos_NaiveBayes,acertos_NaiveBayes,micro_NaiveBayes,macro_NaiveBayes,nome_NaiveBayes,atributos_MultilayerPerceptron,acertos_MultilayerPerceptron,micro_MultilayerPerceptron,macro_MultilayerPerceptron,nome_MultilayerPerceptron,atributos_J48,acertos_J48,micro_J48,macro_J48,nome_J48,
10, 25.13, 0.24, 0.16, SMO, 10, 37.34, 0.47, 0.35, IBk, 10, 38.78, 0.47, 0.35, IBk, 10, 38.87, 0.47, 0.35, IBk, 10, 38.15, 0.46, 0.34, IBk, 10, 39.32, 0.47, 0.35, IBk, 10, 38.6, 0.46, 0.34, IBk, 10, 39.41, 0.47, 0.35, IBk, 10, 38.78, 0.47, 0.35, IBk, 10, 39.14, 0.47, 0.36, IBk, 10, 25.49, 0.32, 0.21, NaiveBayes, 10, 42.37, 0.52, 0.39, MultilayerPerceptron, 10, 32.23, 0.42, 0.3, J48, 
110, 78.19, 0.83, 0.8, SMO, 110, 87.43, 0.92, 0.88, IBk, 110, 87.88, 0.92, 0.88, IBk, 110, 88.06, 0.92, 0.88, IBk, 110, 86.62, 0.91, 0.87, IBk, 110, 87.07, 0.92, 0.87, IBk, 110, 86.8, 0.91, 0.87, IBk, 110, 86.98, 0.91, 0.87, IBk, 110, 86.71, 0.91, 0.87, IBk, 110, 86.0, 0.91, 0.87, IBk, 110, 67.86, 0.77, 0.68, NaiveBayes, 110, 90.48, 0.94, 0.9, MultilayerPerceptron, 110, 81.24, 0.88, 0.81, J48, 
210, 85.01, 0.89, 0.86, SMO, 210, 89.14, 0.93, 0.89, IBk, 210, 89.59, 0.93, 0.9, IBk, 210, 89.59, 0.93, 0.9, IBk, 210, 89.14, 0.93, 0.89, IBk, 210, 88.33, 0.92, 0.89, IBk, 210, 89.05, 0.93, 0.89, IBk, 210, 88.96, 0.93, 0.89, IBk, 210, 88.69, 0.92, 0.89, IBk, 210, 88.69, 0.93, 0.89, IBk, 210, 68.67, 0.78, 0.69, NaiveBayes, 210, 90.84, 0.94, 0.91, MultilayerPerceptron, 210, 82.05, 0.88, 0.82, J48, 
310, 84.65, 0.89, 0.86, SMO, 310, 89.05, 0.93, 0.89, IBk, 310, 88.51, 0.92, 0.88, IBk, 310, 89.86, 0.93, 0.9, IBk, 310, 89.86, 0.93, 0.9, IBk, 310, 88.87, 0.93, 0.89, IBk, 310, 89.14, 0.93, 0.89, IBk, 310, 88.78, 0.93, 0.89, IBk, 310, 88.33, 0.92, 0.89, IBk, 310, 88.87, 0.93, 0.89, IBk, 310, 69.39, 0.79, 0.69, NaiveBayes, 310, 90.75, 0.94, 0.91, MultilayerPerceptron, 310, 81.78, 0.88, 0.82, J48, 
410, 82.68, 0.87, 0.84, SMO, 410, 88.96, 0.93, 0.89, IBk, 410, 89.5, 0.93, 0.9, IBk, 410, 89.5, 0.93, 0.9, IBk, 410, 90.04, 0.93, 0.9, IBk, 410, 90.13, 0.93, 0.91, IBk, 410, 89.86, 0.93, 0.9, IBk, 410, 89.14, 0.93, 0.89, IBk, 410, 88.78, 0.92, 0.89, IBk, 410, 89.05, 0.92, 0.89, IBk, 410, 67.95, 0.78, 0.68, NaiveBayes, 410, 90.93, 0.94, 0.91, MultilayerPerceptron, 410, 81.06, 0.88, 0.81, J48, 
510, 83.3, 0.88, 0.85, SMO, 510, 89.32, 0.93, 0.89, IBk, 510, 89.95, 0.93, 0.9, IBk, 510, 90.04, 0.93, 0.9, IBk, 510, 89.59, 0.93, 0.9, IBk, 510, 90.04, 0.93, 0.9, IBk, 510, 89.5, 0.93, 0.9, IBk, 510, 89.23, 0.93, 0.89, IBk, 510, 89.14, 0.93, 0.89, IBk, 510, 88.96, 0.93, 0.89, IBk, 510, 69.75, 0.79, 0.7, NaiveBayes, 510, 91.38, 0.95, 0.91, MultilayerPerceptron, 510, 80.07, 0.87, 0.8, J48, 
610, 82.23, 0.87, 0.84, SMO, 610, 89.14, 0.93, 0.89, IBk, 610, 88.87, 0.93, 0.89, IBk, 610, 89.32, 0.93, 0.89, IBk, 610, 89.68, 0.93, 0.9, IBk, 610, 90.22, 0.93, 0.9, IBk, 610, 89.14, 0.93, 0.89, IBk, 610, 89.23, 0.93, 0.89, IBk, 610, 88.96, 0.93, 0.89, IBk, 610, 89.41, 0.93, 0.9, IBk, 610, 68.22, 0.78, 0.69, NaiveBayes, 610, 91.38, 0.95, 0.91, MultilayerPerceptron, 610, 82.76, 0.89, 0.83, J48, 
710, 82.23, 0.87, 0.84, SMO, 710, 89.5, 0.93, 0.89, IBk, 710, 89.5, 0.93, 0.9, IBk, 710, 90.04, 0.93, 0.9, IBk, 710, 89.41, 0.93, 0.9, IBk, 710, 89.77, 0.93, 0.9, IBk, 710, 89.41, 0.93, 0.9, IBk, 710, 90.04, 0.93, 0.9, IBk, 710, 89.41, 0.93, 0.9, IBk, 710, 89.23, 0.93, 0.89, IBk, 710, 68.22, 0.78, 0.69, NaiveBayes, 710, 91.38, 0.95, 0.91, MultilayerPerceptron, 710, 82.76, 0.89, 0.82, J48, 
810, 80.61, 0.85, 0.82, SMO, 810, 89.59, 0.93, 0.9, IBk, 810, 89.32, 0.93, 0.89, IBk, 810, 89.77, 0.93, 0.9, IBk, 810, 89.32, 0.93, 0.9, IBk, 810, 89.41, 0.93, 0.89, IBk, 810, 90.31, 0.93, 0.9, IBk, 810, 89.68, 0.93, 0.9, IBk, 810, 89.41, 0.93, 0.9, IBk, 810, 89.23, 0.93, 0.89, IBk, 810, 68.04, 0.77, 0.69, NaiveBayes, 810, 91.65, 0.95, 0.91, MultilayerPerceptron, 810, 83.03, 0.89, 0.83, J48, 
910, 79.98, 0.85, 0.82, SMO, 910, 88.87, 0.93, 0.89, IBk, 910, 89.41, 0.93, 0.89, IBk, 910, 89.95, 0.93, 0.9, IBk, 910, 90.04, 0.93, 0.9, IBk, 910, 90.04, 0.93, 0.9, IBk, 910, 89.86, 0.93, 0.9, IBk, 910, 89.86, 0.93, 0.9, IBk, 910, 89.5, 0.93, 0.9, IBk, 910, 88.87, 0.93, 0.89, IBk, 910, 69.12, 0.79, 0.7, NaiveBayes, 910, 91.65, 0.95, 0.92, MultilayerPerceptron, 910, 82.76, 0.89, 0.83, J48, 
