


at:8	acertos:48.58	micro:0.39	macro:0.31	50 selecionados	SMO
at:8	acertos:45.86	micro:0.49	macro:0.38	50 selecionados	IBk
at:8	acertos:49.24	micro:0.51	macro:0.39	50 selecionados	IBk
at:8	acertos:49.67	micro:0.51	macro:0.4	50 selecionados	IBk
at:8	acertos:50.39	micro:0.52	macro:0.42	50 selecionados	IBk
at:8	acertos:49.43	micro:0.5	macro:0.39	50 selecionados	IBk
at:8	acertos:49.18	micro:0.49	macro:0.39	50 selecionados	IBk
at:8	acertos:49.18	micro:0.49	macro:0.39	50 selecionados	IBk
at:8	acertos:48.52	micro:0.48	macro:0.38	50 selecionados	IBk
at:8	acertos:49.0	micro:0.48	macro:0.38	50 selecionados	IBk
at:8	acertos:36.31	micro:0.42	macro:0.36	50 selecionados	NaiveBayes
at:8	acertos:36.37	micro:0.42	macro:0.36	50 selecionados	NaiveBayesSimple
at:8	acertos:45.56	micro:0.48	macro:0.36	50 selecionados	J48
at:8	acertos:54.44	micro:0.57	macro:0.45	50 selecionados	MultilayerPerceptron



at:8	acertos:55.11	micro:0.5	macro:0.47	150 selecionados	SMO
at:8	acertos:56.37	micro:0.63	macro:0.53	150 selecionados	IBk
at:8	acertos:58.07	micro:0.64	macro:0.54	150 selecionados	IBk
at:8	acertos:59.52	micro:0.64	macro:0.55	150 selecionados	IBk
at:8	acertos:59.82	micro:0.65	macro:0.55	150 selecionados	IBk
at:8	acertos:60.36	micro:0.65	macro:0.56	150 selecionados	IBk
at:8	acertos:60.0	micro:0.65	macro:0.56	150 selecionados	IBk
at:8	acertos:58.97	micro:0.63	macro:0.54	150 selecionados	IBk
at:8	acertos:59.15	micro:0.63	macro:0.55	150 selecionados	IBk
at:8	acertos:59.09	micro:0.63	macro:0.55	150 selecionados	IBk
at:8	acertos:40.42	micro:0.48	macro:0.4	150 selecionados	NaiveBayes
at:8	acertos:40.6	micro:0.48	macro:0.4	150 selecionados	NaiveBayesSimple
at:8	acertos:51.84	micro:0.58	macro:0.46	150 selecionados	J48
at:8	acertos:63.69	micro:0.7	macro:0.6	150 selecionados	MultilayerPerceptron



at:8	acertos:56.86	micro:0.53	macro:0.49	250 selecionados	SMO
at:8	acertos:58.07	micro:0.65	macro:0.55	250 selecionados	IBk
at:8	acertos:59.21	micro:0.65	macro:0.55	250 selecionados	IBk
at:8	acertos:60.85	micro:0.66	macro:0.57	250 selecionados	IBk
at:8	acertos:61.09	micro:0.66	macro:0.57	250 selecionados	IBk
at:8	acertos:61.03	micro:0.65	macro:0.57	250 selecionados	IBk
at:8	acertos:60.42	micro:0.65	macro:0.56	250 selecionados	IBk
at:8	acertos:60.73	micro:0.65	macro:0.57	250 selecionados	IBk
at:8	acertos:61.81	micro:0.66	macro:0.58	250 selecionados	IBk
at:8	acertos:61.39	micro:0.65	macro:0.58	250 selecionados	IBk
at:8	acertos:42.54	micro:0.51	macro:0.42	250 selecionados	NaiveBayes
at:8	acertos:42.6	micro:0.51	macro:0.42	250 selecionados	NaiveBayesSimple
at:8	acertos:54.32	micro:0.62	macro:0.49	250 selecionados	J48
at:8	acertos:64.83	micro:0.72	macro:0.62	250 selecionados	MultilayerPerceptron



at:8	acertos:58.19	micro:0.55	macro:0.5	350 selecionados	SMO
at:8	acertos:58.79	micro:0.66	macro:0.57	350 selecionados	IBk
at:8	acertos:61.03	micro:0.67	macro:0.57	350 selecionados	IBk
at:8	acertos:61.21	micro:0.67	macro:0.57	350 selecionados	IBk
at:8	acertos:61.93	micro:0.67	macro:0.59	350 selecionados	IBk
at:8	acertos:63.02	micro:0.68	macro:0.6	350 selecionados	IBk
at:8	acertos:62.9	micro:0.68	macro:0.6	350 selecionados	IBk
at:8	acertos:62.24	micro:0.67	macro:0.59	350 selecionados	IBk
at:8	acertos:62.96	micro:0.67	macro:0.6	350 selecionados	IBk
at:8	acertos:62.36	micro:0.66	macro:0.59	350 selecionados	IBk
at:8	acertos:43.02	micro:0.51	macro:0.42	350 selecionados	NaiveBayes
at:8	acertos:43.08	micro:0.51	macro:0.42	350 selecionados	NaiveBayesSimple
at:8	acertos:56.5	micro:0.64	macro:0.52	350 selecionados	J48
at:8	acertos:67.01	micro:0.75	macro:0.65	350 selecionados	MultilayerPerceptron



at:8	acertos:58.61	micro:0.56	macro:0.51	450 selecionados	SMO
at:8	acertos:59.94	micro:0.68	macro:0.58	450 selecionados	IBk
at:8	acertos:61.39	micro:0.68	macro:0.58	450 selecionados	IBk
at:8	acertos:61.15	micro:0.67	macro:0.58	450 selecionados	IBk
at:8	acertos:61.99	micro:0.67	macro:0.59	450 selecionados	IBk
at:8	acertos:62.84	micro:0.69	macro:0.61	450 selecionados	IBk
at:8	acertos:63.38	micro:0.69	macro:0.61	450 selecionados	IBk
at:8	acertos:62.36	micro:0.67	macro:0.6	450 selecionados	IBk
at:8	acertos:63.38	micro:0.68	macro:0.61	450 selecionados	IBk
at:8	acertos:63.44	micro:0.68	macro:0.61	450 selecionados	IBk
at:8	acertos:44.35	micro:0.52	macro:0.43	450 selecionados	NaiveBayes
at:8	acertos:44.41	micro:0.52	macro:0.43	450 selecionados	NaiveBayesSimple
at:8	acertos:55.17	micro:0.63	macro:0.51	450 selecionados	J48
at:8	acertos:67.85	micro:0.75	macro:0.65	450 selecionados	MultilayerPerceptron



at:8	acertos:59.46	micro:0.57	macro:0.52	550 selecionados	SMO
at:8	acertos:59.82	micro:0.67	macro:0.57	550 selecionados	IBk
at:8	acertos:61.87	micro:0.69	macro:0.59	550 selecionados	IBk
at:8	acertos:61.87	micro:0.68	macro:0.59	550 selecionados	IBk
at:8	acertos:62.6	micro:0.68	macro:0.6	550 selecionados	IBk
at:8	acertos:62.96	micro:0.68	macro:0.6	550 selecionados	IBk
at:8	acertos:63.32	micro:0.68	macro:0.61	550 selecionados	IBk
at:8	acertos:63.2	micro:0.68	macro:0.6	550 selecionados	IBk
at:8	acertos:63.99	micro:0.68	macro:0.61	550 selecionados	IBk
at:8	acertos:63.93	micro:0.68	macro:0.62	550 selecionados	IBk
at:8	acertos:44.89	micro:0.53	macro:0.43	550 selecionados	NaiveBayes
at:8	acertos:44.83	micro:0.53	macro:0.43	550 selecionados	NaiveBayesSimple
at:8	acertos:56.98	micro:0.64	macro:0.52	550 selecionados	J48
at:8	acertos:68.16	micro:0.76	macro:0.66	550 selecionados	MultilayerPerceptron



