


at:11	acertos:59.99	micro:0.36	macro:0.31	50 selecionados	SMO
at:11	acertos:73.81	micro:0.62	macro:0.46	50 selecionados	IBk
at:11	acertos:74.42	micro:0.63	macro:0.47	50 selecionados	IBk
at:11	acertos:75.13	micro:0.64	macro:0.48	50 selecionados	IBk
at:11	acertos:75.67	micro:0.64	macro:0.49	50 selecionados	IBk
at:11	acertos:76.14	micro:0.65	macro:0.49	50 selecionados	IBk
at:11	acertos:76.35	micro:0.65	macro:0.5	50 selecionados	IBk
at:11	acertos:76.5	micro:0.66	macro:0.5	50 selecionados	IBk
at:11	acertos:76.82	micro:0.66	macro:0.5	50 selecionados	IBk
at:11	acertos:76.57	micro:0.65	macro:0.5	50 selecionados	IBk
at:11	acertos:46.32	micro:0.45	macro:0.35	50 selecionados	NaiveBayes
at:11	acertos:46.47	micro:0.45	macro:0.34	50 selecionados	NaiveBayesSimple
at:11	acertos:72.26	micro:0.62	macro:0.45	50 selecionados	J48
at:11	acertos:77.22	micro:0.66	macro:0.5	50 selecionados	MultilayerPerceptron



at:11	acertos:63.76	micro:0.43	macro:0.32	150 selecionados	SMO
at:11	acertos:77.32	micro:0.67	macro:0.51	150 selecionados	IBk
at:11	acertos:78.33	micro:0.68	macro:0.53	150 selecionados	IBk
at:11	acertos:79.8	micro:0.7	macro:0.56	150 selecionados	IBk
at:11	acertos:80.16	micro:0.71	macro:0.56	150 selecionados	IBk
at:11	acertos:80.48	micro:0.71	macro:0.56	150 selecionados	IBk
at:11	acertos:80.88	micro:0.72	macro:0.56	150 selecionados	IBk
at:11	acertos:81.02	micro:0.72	macro:0.57	150 selecionados	IBk
at:11	acertos:81.09	micro:0.72	macro:0.57	150 selecionados	IBk
at:11	acertos:80.8	micro:0.72	macro:0.56	150 selecionados	IBk
at:11	acertos:54.36	micro:0.49	macro:0.38	150 selecionados	NaiveBayes
at:11	acertos:54.29	micro:0.49	macro:0.37	150 selecionados	NaiveBayesSimple
at:11	acertos:75.74	micro:0.66	macro:0.5	150 selecionados	J48
at:11	acertos:80.84	micro:0.71	macro:0.56	150 selecionados	MultilayerPerceptron



at:11	acertos:64.66	micro:0.44	macro:0.34	250 selecionados	SMO
at:11	acertos:78.61	micro:0.69	macro:0.53	250 selecionados	IBk
at:11	acertos:79.3	micro:0.69	macro:0.54	250 selecionados	IBk
at:11	acertos:80.19	micro:0.71	macro:0.56	250 selecionados	IBk
at:11	acertos:80.55	micro:0.71	macro:0.57	250 selecionados	IBk
at:11	acertos:80.95	micro:0.72	macro:0.57	250 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.58	250 selecionados	IBk
at:11	acertos:81.27	micro:0.72	macro:0.57	250 selecionados	IBk
at:11	acertos:81.2	micro:0.72	macro:0.57	250 selecionados	IBk
at:11	acertos:81.13	micro:0.72	macro:0.57	250 selecionados	IBk
at:11	acertos:55.51	micro:0.49	macro:0.38	250 selecionados	NaiveBayes
at:11	acertos:55.54	micro:0.49	macro:0.38	250 selecionados	NaiveBayesSimple
at:11	acertos:76.53	micro:0.67	macro:0.51	250 selecionados	J48
at:11	acertos:81.45	micro:0.72	macro:0.59	250 selecionados	MultilayerPerceptron



at:11	acertos:64.37	micro:0.44	macro:0.33	350 selecionados	SMO
at:11	acertos:78.69	micro:0.68	macro:0.53	350 selecionados	IBk
at:11	acertos:79.55	micro:0.7	macro:0.55	350 selecionados	IBk
at:11	acertos:80.41	micro:0.71	macro:0.56	350 selecionados	IBk
at:11	acertos:80.91	micro:0.72	macro:0.57	350 selecionados	IBk
at:11	acertos:81.23	micro:0.72	macro:0.57	350 selecionados	IBk
at:11	acertos:81.41	micro:0.73	macro:0.58	350 selecionados	IBk
at:11	acertos:81.41	micro:0.73	macro:0.57	350 selecionados	IBk
at:11	acertos:81.34	micro:0.72	macro:0.57	350 selecionados	IBk
at:11	acertos:81.38	micro:0.73	macro:0.57	350 selecionados	IBk
at:11	acertos:56.23	micro:0.5	macro:0.38	350 selecionados	NaiveBayes
at:11	acertos:56.15	micro:0.5	macro:0.38	350 selecionados	NaiveBayesSimple
at:11	acertos:77.32	micro:0.68	macro:0.52	350 selecionados	J48
at:11	acertos:81.02	micro:0.72	macro:0.58	350 selecionados	MultilayerPerceptron



at:11	acertos:64.51	micro:0.44	macro:0.33	450 selecionados	SMO
at:11	acertos:79.12	micro:0.69	macro:0.54	450 selecionados	IBk
at:11	acertos:79.87	micro:0.7	macro:0.55	450 selecionados	IBk
at:11	acertos:80.77	micro:0.71	macro:0.57	450 selecionados	IBk
at:11	acertos:81.41	micro:0.72	macro:0.58	450 selecionados	IBk
at:11	acertos:81.63	micro:0.73	macro:0.58	450 selecionados	IBk
at:11	acertos:81.31	micro:0.72	macro:0.57	450 selecionados	IBk
at:11	acertos:81.41	micro:0.73	macro:0.58	450 selecionados	IBk
at:11	acertos:81.52	micro:0.73	macro:0.57	450 selecionados	IBk
at:11	acertos:81.49	micro:0.73	macro:0.57	450 selecionados	IBk
at:11	acertos:56.55	micro:0.5	macro:0.39	450 selecionados	NaiveBayes
at:11	acertos:56.51	micro:0.5	macro:0.39	450 selecionados	NaiveBayesSimple
at:11	acertos:76.82	micro:0.68	macro:0.52	450 selecionados	J48
at:11	acertos:81.59	micro:0.73	macro:0.59	450 selecionados	MultilayerPerceptron



at:11	acertos:64.51	micro:0.44	macro:0.33	550 selecionados	SMO
at:11	acertos:78.65	micro:0.68	macro:0.53	550 selecionados	IBk
