Rank,Word,Part-of-speech,frequency,Dispersion,Normalization
1,the,a,22038615,0.98,1
2,be,v,12545825,0.97,0.569170281577254
3,and,c,10741073,0.99,0.48726171771111
4,of,i,10343885,0.97,0.469235363583304
5,a,a,10144200,0.98,0.460172671548271
6,in,i,6996437,0.98,0.317311632069726
7,to,t,6332195,0.98,0.287165047785805
8,have,v,4303955,0.97,0.195113494123104
11,I,p,3978265,0.93,0.18033207253966
10,it,p,3872477,0.96,0.175530890352705
9,to,i,3856916,0.99,0.174824655278677
12,that,c,3430996,0.97,0.155494301012901
13,for,i,3281454,0.98,0.148707346097394
14,you,p,3081151,0.92,0.13961660616854
15,he,p,2909254,0.94,0.13181507088674
16,with,i,2683014,0.99,0.12154718173129
18,do,v,2573587,0.95,0.11658084374237
17,on,i,2485306,0.99,0.112574215725519
19,say,v,1915138,0.95,0.0866971744243147
20,this,d,1885366,0.96,0.0853459739472282
21,they,p,1865580,0.96,0.0844479874955409
24,we,p,1820935,0.94,0.0824217767841501
25,his,a,1801708,0.95,0.0815491605147378
23,but,c,1776767,0.97,0.0804172146898348
22,at,i,1767638,0.98,0.080002895559265
27,that,d,1712406,0.94,0.0774961944726588
28,not,x,1638830,0.98,0.0741569520199476
26,from,i,1635914,0.99,0.0740246095306562
29,n't,x,1619007,0.97,0.0732572863254264
30,by,i,1490548,0.96,0.0674271821306778
31,she,p,1484869,0.91,0.067169441048138
32,or,c,1379320,0.97,0.0623791058621914
33,as,c,1296879,0.98,0.0586375259034553
34,what,d,1181023,0.94,0.0533794081259015
35,go,v,1151045,0.93,0.0520188583508746
36,their,a,1083029,0.97,0.0489319561726697
37,can,v,1022775,0.98,0.0461973319100616
38,who,p,1018283,0.97,0.0459934627530324
39,get,v,992596,0.94,0.0448276597618017
42,her,a,969591,0.91,0.0437835791835612
40,if,c,933542,0.97,0.0421474974289431
41,would,v,925515,0.97,0.04178319250386
44,my,a,919821,0.93,0.0415247706471983
47,know,v,892535,0.93,0.0402863971345763
43,all,d,892102,0.98,0.040266745454925
46,about,i,874406,0.96,0.0394636135308849
45,make,v,857168,0.98,0.0386812679100325
49,as,i,829018,0.95,0.0374036818079908
48,will,v,824568,0.97,0.0372017188185029
50,up,r,795534,0.95,0.0358840124282124
53,there,e,784528,0.96,0.035384505762526
56,think,v,772787,0.91,0.0348516411648681
54,year,n,769254,0.96,0.0346912961666971
51,one,m,768232,0.98,0.034644912756527
52,time,n,764657,0.98,0.0344826615908148
55,so,r,756550,0.95,0.0341147258704151
61,me,p,709623,0.92,0.0319849467226172
62,people,n,691468,0.95,0.0311609831104479
58,which,d,685982,0.96,0.0309120013216095
57,when,c,678626,0.98,0.0305781496922447
64,out,r,678603,0.96,0.0305771058385912
59,them,p,677870,0.97,0.0305438386765025
66,just,r,677711,0.94,0.0305366224708107
68,him,p,677707,0.92,0.0305364409310448
60,some,d,674193,0.98,0.0303769582467616
63,take,v,670745,0.97,0.0302204709686145
65,into,i,668172,0.97,0.0301036955142432
67,see,v,663645,0.96,0.029898237884263
69,your,a,659622,0.94,0.0297156542647776
70,come,v,628254,0.95,0.0282920194211241
71,could,v,617932,0.96,0.027823556055395
72,now,r,605997,0.94,0.0272818867790942
73,than,c,579757,0.97,0.0260909859152373
74,like,i,568850,0.96,0.0255959723587552
75,other,j,547799,0.97,0.0246405739561237
77,then,r,543977,0.95,0.0244671127098713
78,its,a,539719,0.96,0.0242738636291433
76,how,r,538893,0.97,0.024236375667499
79,our,a,525107,0.97,0.0236106988645595
81,more,r,517536,0.97,0.0232670894727813
83,want,v,514972,0.95,0.0231507224828831
82,these,d,513864,0.95,0.0231004359677476
80,two,m,511027,0.99,0.0229716788888314
85,look,v,491707,0.93,0.0220948418198635
84,way,n,470401,0.98,0.0211278702571602
87,also,r,464606,0.96,0.0208648645214113
86,first,m,463566,0.98,0.020817664182295
89,because,c,438539,0.96,0.0196818152524265
88,new,j,435993,0.97,0.0195662651914745
90,day,n,432773,0.97,0.0194201256799799
92,use,v,420781,0.96,0.018875869462016
91,more,d,420170,0.97,0.0188481392627852
96,here,r,412315,0.93,0.0184916405476329
100,well,r,411776,0.91,0.018467178064187
94,man,n,409760,0.95,0.0183756820222078
93,no,a,402222,0.98,0.0180335703334976
97,thing,n,400724,0.94,0.0179655836911936
106,her,p,397950,0.89,0.0178396858635892
95,find,v,395203,0.98,0.0177150134294042
105,very,r,391821,0.92,0.0175615215573933
103,tell,v,388155,0.94,0.0173951403620084
99,many,d,385348,0.97,0.0172677448313359
98,give,v,384503,0.98,0.017229394555804
101,only,r,379574,0.98,0.0170056921793577
102,those,d,378007,0.97,0.016934573976093
104,one,p,369553,0.98,0.0165508896810074
108,back,r,367844,0.94,0.0164733268160557
107,even,r,361067,0.98,0.0161657530677951
110,good,j,353973,0.96,0.0158437922930923
113,us,p,351088,0.95,0.0157128567369861
109,any,d,348100,0.98,0.0155772465319097
111,woman,n,341422,0.98,0.0152741658928534
112,through,i,340921,0.98,0.015251428037183
115,child,n,333849,0.97,0.0149304657311923
116,there,r,333433,0.93,0.0149115855955457
114,life,n,333085,0.98,0.0148957916359184
118,down,r,329409,0.94,0.0147289565911189
119,may,v,324569,0.95,0.0145092934744623
117,work,v,318210,0.98,0.0142206906317312
120,after,i,311902,0.98,0.0139344024210143
121,should,v,310265,0.98,0.0138601072718476
122,call,v,308050,0.97,0.0137595796265182
125,school,n,304183,0.95,0.0135840760579003
123,world,n,303506,0.97,0.0135533504525333
124,over,i,300349,0.98,0.0134100701923505
126,still,r,296953,0.97,0.0132559429311592
127,try,v,294023,0.96,0.0131229650526874
130,last,m,289843,0.95,0.0129332559973931
128,in,r,285035,0.98,0.0127150451988632
131,ask,v,284632,0.96,0.0126967550674556
129,as,r,281483,0.98,0.0125538378868045
133,too,r,280396,0.96,0.0125045044554397
132,need,v,276744,0.98,0.0123387586492352
134,feel,v,275214,0.95,0.0122693196888045
137,state,n,272193,0.94,0.01213221178066
136,when,r,268219,0.97,0.0119518520233061
