@RELATION teste

@ATTRIBUTE DC0 REAL
@ATTRIBUTE DC1 REAL
@ATTRIBUTE DC2 REAL
@ATTRIBUTE DC3 REAL
@ATTRIBUTE DC4 REAL
@ATTRIBUTE DC5 REAL
@ATTRIBUTE DC6 REAL
@ATTRIBUTE DC7 REAL
@ATTRIBUTE DC8 REAL
@ATTRIBUTE DC9 REAL
@ATTRIBUTE classe {money-fx,trade,interest,corn,earn,ship,wheat,grain,acq,crude}

@data
1027.7183466300482,941.0951067772056,905.6881361705032,497.8061871853342,6340.226494376995,459.499727965099,498.41247977954964,912.3173789860632,2623.4934724523328,1081.7421134447895,crude
1027.277956543408,940.1388195367746,905.3198329872156,497.02515026907844,6339.45368308658,458.06877212925133,497.4776376883689,911.3122406727565,2622.271343701868,1080.5836385953658,crude
1023.7802498583375,937.1803455045352,901.5996894409403,496.1713413731188,6338.449731598414,454.54482727229447,496.6870241912909,909.6999505331414,2616.2998681343847,1070.1770881494333,crude
1026.1291341736674,939.1229951396143,903.4074385347953,496.8510843301039,6340.307405796662,457.2132981443125,497.46859197340285,911.0010976941795,2621.6807585974307,1078.0250460912307,crude
1027.0024342717013,940.2536891711726,905.4192399104406,496.9044173681695,6340.451324629817,456.9846824566443,497.40325692540455,911.1564080880955,2622.9264190975696,1078.7868186069015,crude
1025.4628223392597,938.3011243731939,903.6271354933958,495.06363227367046,6339.05899956768,456.6563259169854,495.69547103034944,908.9312405237263,2620.5970693717873,1073.7630092343468,crude
1027.1319292087069,940.6407390709803,905.2922180158183,497.30875721225743,6339.597384692501,458.61857790543115,497.9698786071302,911.7477721387643,2622.24541185603,1078.323235398366,crude
1026.2183003630369,940.0132977782814,903.2651880815512,496.23381585700105,6338.974286112857,459.130700345773,496.6608500777971,910.5317127920367,2621.3975280372874,1080.4457413493747,crude
1026.3279203061759,938.8705981124342,904.5413202281032,496.02318494199443,6339.4302583118615,456.97045856378946,496.7745967740299,910.2126125252275,2621.5758619578414,1074.5119822505471,crude
1025.7616682251291,938.9004207049861,904.0138273278789,497.0281682158467,6338.433244895777,457.04923148387417,497.52688369574565,910.8561906250624,2619.6320352293756,1072.6201564393614,crude
